customer_key,customer_id,customer_name,contact_phone,start_date,end_date,is_current
1,1,Роман Семёнов,375443065175,2025-08-21,,t
2,2,Надежда Ковалёва,375337908710,2025-08-21,,t
3,3,Илья Соловьёв,375299326523,2025-08-21,,t
4,4,Дмитрий Яковлев,375299327668,2025-08-21,,t
5,5,Александра Ковалёва,375331165861,2025-08-21,,t
6,6,Дарья Новикова,375330788976,2025-08-21,,t
7,7,Ирина Соловьёва,375448612276,2025-08-21,,t
8,8,Елена Киселёва,375259985544,2025-08-21,,t
9,9,Наталья Макарова,375296770361,2025-08-21,,t
10,10,Егор Орлов,375258775850,2025-08-21,,t
11,11,Александр Сидоров,375331588865,2025-08-21,,t
12,12,Алексей Волков,375293484924,2025-08-21,,t
13,13,Ирина Петрова,375331026576,2025-08-21,,t
14,14,Валерия Петрова,375296771077,2025-08-21,,t
15,15,Алексей Виноградов,375335273999,2025-08-21,,t
